Região;TXApro_Total_2017;TXApro_1aSERIE_2017;TXApro_2aSERIE_2017;TXApro_3aSERIE_2017;TXApro_4aSERIE_2017;Indicador de Rendimento (P)_2017;TXApro_Total_2019;TXApro_1aSERIE_2019;TXApro_2aSERIE_2019;TXApro_3aSERIE_2019;TXApro_4aSERIE_2019;Indicador de Rendimento (P)_2019;TXApro_Total_2021;TXApro_1aSERIE_2021;TXApro_2aSERIE_2021;TXApro_3aSERIE_2021;TXApro_4aSERIE_2021;Indicador de Rendimento (P)_2021;TXApro_Total_2023;TXApro_1aSERIE_2023;TXApro_2aSERIE_2023;TXApro_3aSERIE_2023;TXApro_4aSERIE_2023;Indicador de Rendimento (P)_2023;saeb_Mat_2017;saeb_Port_2017;saeb_Media_padronizada_2017;saeb_Mat_2019;saeb_Port_2019;saeb_Media_padronizada_2019;saeb_Mat_2021;saeb_Port_2021;saeb_Media_padronizada_2021;saeb_Mat_2023;saeb_Port_2023;saeb_Media_padronizada_2023;IDEB_2017;IDEB_2019;IDEB_2021;IDEB_2023;Meta_2019;Meta_2021
Brasil;83.557;77.828;84.783;90.608;87.447;0.837;86.151;81.113;87.188;92.561;90.679;0.863;91.071;91.429;89.753;92.530;88.061;0.910;91.390;89.071;91.607;94.720;94.054;0.915;272.840;269.934;4.562;273.749;275.415;4.657;269.879;274.485;4.589;268.360;272.927;4.544;4.031;4.173;4.396;4.259;4.244;4.369
Paraná;83.642;77.763;85.055;90.837;88.065;0.838;86.709;81.312;88.210;93.249;91.040;0.869;91.081;91.431;89.710;92.566;87.823;0.910;92.096;89.793;92.363;95.399;94.044;0.922;268.764;264.938;4.430;273.088;272.701;4.607;268.963;271.515;4.532;268.041;269.979;4.496;3.868;4.102;4.334;4.195;4.083;4.232
Oeste Paranaense;83.475;77.397;83.308;90.444;95.881;0.833;90.726;87.007;91.353;95.128;96.531;0.911;95.651;95.375;95.166;96.610;97.867;0.957;97.202;95.170;97.801;98.784;99.099;0.972;282.583;274.217;4.763;290.258;286.023;5.048;284.849;281.887;4.910;281.331;283.263;4.881;4.265;4.635;4.744;4.759;4.478;4.724
