uf;municipio;escola;rede;TXApro_Total_2017;TXApro_1aSERIE_2017;TXApro_2aSERIE_2017;TXApro_3aSERIE_2017;TXApro_4aSERIE_2017;Indicador de Rendimento (P)_2017;TXApro_Total_2019;TXApro_1aSERIE_2019;TXApro_2aSERIE_2019;TXApro_3aSERIE_2019;TXApro_4aSERIE_2019;Indicador de Rendimento (P)_2019;TXApro_Total_2021;TXApro_1aSERIE_2021;TXApro_2aSERIE_2021;TXApro_3aSERIE_2021;TXApro_4aSERIE_2021;Indicador de Rendimento (P)_2021;TXApro_Total_2023;TXApro_1aSERIE_2023;TXApro_2aSERIE_2023;TXApro_3aSERIE_2023;TXApro_4aSERIE_2023;Indicador de Rendimento (P)_2023;saeb_Mat_2017;saeb_Port_2017;saeb_Media_padronizada_2017;saeb_Mat_2019;saeb_Port_2019;saeb_Media_padronizada_2019;saeb_Mat_2021;saeb_Port_2021;saeb_Media_padronizada_2021;saeb_Mat_2023;saeb_Port_2023;saeb_Media_padronizada_2023;IDEB_2017;IDEB_2019;IDEB_2021;IDEB_2023;Meta_2019;Meta_2021
RO;Ariquemes;COLEGIO DINAMICO EDUCACAO BASICA;Privada;97.500;96.500;97.700;98.300;;0.975;;;;;;;;;;;;;;;;;;;341.580;323.910;6.336;;;;;;;;;;6.200;;;;6.300;6.500
RO;Cacoal;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;93.200;97.100;88.900;93.600;;0.931;;;;;;;;;;;;;;;;;;;306.800;298.720;5.470;;;;;;;;;;5.100;;;;5.300;5.500
RO;Cacoal;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;86.300;77.500;84.100;100.000;;0.862;;;;;;;;;;;;;;;;;;;311.110;301.710;5.576;;;;;;;;;;4.800;;;;5.000;5.200
RO;Cacoal;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Privada;86.900;89.000;73.100;94.700;;0.846;;;;;;;;;;;;;;;;;;;272.770;252.960;4.307;;;;;;;;;;3.600;;;;3.900;4.100
RO;Cacoal;INSTITUTO EDUCACIONAL SOMA - IES;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;360.430;333.110;6.738;;;;;;;;;;6.700;;;;6.900;7.000
RO;Guajará-Mirim;CENTRO EDUCACIONAL INOVACAO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;284.340;282.880;4.918;;;;;;;;;;4.900;;;;5.100;5.300
RO;Jaru;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;Privada;94.000;80.000;100.000;100.000;;0.923;;;;;;;;;;;;;;;;;;;305.810;309.210;5.613;;;;;;;;;;5.200;;;;5.400;5.600
RO;Ji-Paraná;COLEGIO ULBRA SAO PAULO;Privada;97.200;96.600;96.600;100.000;;0.977;;;;;;;;;;;;;;;;;;;311.320;295.720;5.489;;;;;;;;;;5.400;;;;5.600;5.800
RO;Ji-Paraná;COLEGIO ADVENTISTA DE JI-PARANA;Privada;97.800;95.200;100.000;100.000;;0.983;;;;;;;;;;;;;;;;;;;297.500;296.610;5.308;;;;;;;;;;5.200;;;;5.400;5.600
RO;Ji-Paraná;ESCOLA FAMILIA AGRICOLA ITAPIREMA;Privada;93.500;95.100;93.900;87.000;94.200;0.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;CENTRO DE ENSINO CLASSE A;Privada;98.500;97.100;100.000;98.200;;0.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;Privada;97.500;94.300;100.000;100.000;;0.980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO DOM BOSCO;Privada;87.100;64.300;97.400;98.000;;0.833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;Privada;97.400;100.000;96.200;96.900;;0.977;;;;;;;;;;;;;;;;;;;331.500;333.010;6.331;;;;;;;;;;6.200;;;;6.400;6.500
RO;Porto Velho;COLEGIO ADVENTISTA DE PORTO VELHO;Privada;89.900;82.800;85.200;100.000;;0.887;;;;;;;;;;;;;;;;;;;272.430;282.870;4.750;;;;;;;;;;4.200;;;;4.400;4.600
RO;Porto Velho;CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO;Privada;95.000;91.000;100.000;95.800;;0.955;;;;;;;;;;;;;;;;;;;284.330;297.730;5.140;;;;;;;;;;4.900;;;;5.100;5.300
RO;Porto Velho;INSTITUTO LAURA VICUNA;Privada;96.800;96.400;91.700;100.000;;0.959;;;;;;;;;;;;;;;;;;;319.970;301.840;5.702;;;;;;;;;;5.500;;;;5.700;5.900
RO;Porto Velho;CENTRO DE ENSINO MINEIRO;Privada;96.100;94.900;93.500;100.000;;0.961;;;;;;;;;;;;;;;;;;;297.380;294.710;5.278;;;;;;;;;;5.100;;;;5.300;5.500
RO;Porto Velho;EPEFM TERRA NOVA;Privada;80.400;62.500;81.300;94.700;;0.772;;;;;;;;;;;;;;;;;;;293.390;314.240;5.514;;;;;;;;;;4.300;;;;4.500;4.700
RO;Porto Velho;COLEGIO CLASSE A;Privada;92.300;88.100;93.000;95.300;;0.920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO SAPIENS - UNIDADE INTENSIVO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Rolim de Moura;COLEGIO CLARICE LISPECTOR LTDA;Privada;97.600;90.000;100.000;100.000;;0.964;;;;;;;;;;;;;;;;;;;360.320;344.590;6.909;;;;;;;;;;6.700;;;;6.800;7.000
RO;Vilhena;CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI;Privada;93.200;97.100;81.100;100.000;;0.919;;;;;;;;;;;;;;;;;;;312.820;287.720;5.390;;;;;;;;;;5.000;;;;5.200;5.400
RO;Vilhena;COOPERATIVA EDUCACIONAL DE VILHENA;Privada;81.200;65.500;94.400;90.900;;0.814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Mirante da Serra;INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;287.160;280.850;4.927;;;;;;;;;;4.900;;;;5.100;5.300
AC;Cruzeiro do Sul;ESC INSTITUTO SANTA TERESINHA;Privada;98.100;100.000;100.000;93.800;;0.978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC;Rio Branco;COLEGIO ADVENTISTA DE RIO BRANCO;Privada;95.500;90.900;96.700;100.000;;0.957;;;;;;;;;;;;;;;;;;;290.400;293.940;5.168;;;;;;;;;;4.900;;;;5.200;5.400
AC;Rio Branco;ESC CENTRO EDUCACIONAL E CULTURAL - META;Privada;96.700;96.600;93.800;99.400;;0.965;;;;;;;;;;;;;;;;;;;318.790;312.650;5.847;;;;;;;;;;5.600;;;;5.800;6.000
AC;Rio Branco;ESC INSTITUTO IMACULADA CONCEICAO;Privada;97.200;97.200;92.900;100.000;;0.966;;;;;;;;;;;;;;;;;;;299.400;299.600;5.380;;;;;;;;;;5.200;;;;5.400;5.600
AC;Rio Branco;ESC COLEGIO PINGO DE OURO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;227.070;229.990;3.322;;;;;;;;;;3.300;;;;3.500;3.800
AC;Rio Branco;ESC COLEGIO VITORIA;Privada;92.300;85.700;95.000;100.000;;0.932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC;Rio Branco;ESC ASSOCIACAO MODELAR DE ENSINO A M E;Privada;97.100;;95.100;100.000;;0.975;;;;;;;;;;;;;;;;;;;322.440;310.840;5.871;;;;;;;;;;5.700;;;;5.900;6.100
AC;Rio Branco;COLEGIO ALTERNATIVO DO ACRE;Privada;96.900;90.200;100.000;100.000;;0.965;;;;;;;;;;;;;;;;;;;327.190;327.660;6.190;;;;;;;;;;6.000;;;;6.200;6.300
AC;Rio Branco;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;Privada;87.800;76.200;91.800;100.000;;0.882;;;;;;;;;;;;;;;;;;;296.930;299.170;5.338;;;;;;;;;;4.700;;;;4.900;5.100
AC;Rio Branco;ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;327.470;312.900;5.973;;;;;;;;;;6.000;;;;6.200;6.300
AC;Rio Branco;ESCOLA COLEGIO SIGMA;Privada;95.700;95.800;94.900;96.400;;0.957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Itacoatiara;COLEGIO NOSSA SENHORA DO ROSARIO;Privada;95.100;90.900;97.000;96.200;;0.946;;;;;;;;;;;;;;;;;;;342.070;317.790;6.251;;;;;;;;;;5.900;;;;6.100;6.300
AM;Manaus;ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA;Privada;96.100;97.200;92.600;100.000;;0.965;;;;;;;;;;;;;;;;;;;321.970;307.620;5.817;;;;;;;;;;5.600;;;;5.800;6.000
AM;Manaus;INSTITUTO HILDA FERREIRA;Privada;98.700;95.200;100.000;100.000;;0.983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;ESCOLA SESI DRA EMINA BARBOSA MUSTUFA;Privada;95.500;94.400;91.700;100.000;;0.952;;;;;;;;;;;;;;;;;;;307.490;302.610;5.538;;;;;;;;;;5.300;;;;5.500;5.700
AM;Manaus;CENTRO EDUCACIONAL RAIMUNDO BELO FERREIRA;Privada;85.700;82.400;91.700;85.000;;0.862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;CENTRO EDUCACIONAL SANTA TERESINHA;Privada;98.600;94.100;100.000;100.000;;0.980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;CENTRO EDUCACIONAL CASIMIRO DE ABREU;Privada;95.500;90.600;96.900;100.000;;0.957;;;;;;;;;;;;;;;;;;;275.820;275.900;4.694;;;;;;;;;;4.500;;;;4.700;4.900
AM;Manaus;CENTRO EDUCACIONAL FUCAPI LYNALDO CAVALCANTE DE ALBUQUERQUE CEEF;Privada;97.200;95.000;94.400;100.000;;0.964;;;;;;;;;;;;;;;;;;;323.250;309.050;5.856;;;;;;;;;;5.600;;;;5.800;6.000
AM;Manaus;CENTRO EDUCACIONAL LA SALLE;Privada;94.900;88.200;96.500;98.700;;0.942;;;;;;;;;;;;;;;;;;;339.110;328.990;6.377;;;;;;;;;;6.000;;;;6.200;6.400
AM;Manaus;CENTRO EDUCACIONAL RECANTO DA CRIANCA E INTERATIVO;Privada;97.500;96.000;96.600;100.000;;0.975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;CENTRO EDUCACIONAL SILVIA GUERRA;Privada;90.900;95.500;88.400;89.300;;0.910;;;;;;;;;;;;;;;;;;;291.050;287.280;5.078;;;;;;;;;;4.600;;;;4.800;5.000
AM;Manaus;ESCOLAS IDAAM - UNIDADE DJALMA BATISTA;Privada;96.900;96.100;97.000;100.000;;0.977;;;;;;;;;;;;;;;;;;;396.400;367.690;7.761;;;;;;;;;;7.600;;;;7.700;7.800
AM;Manaus;COLEGIO ULBRA CONCORDIA MANAUS;Privada;98.800;100.000;100.000;97.700;;0.992;;;;;;;;;;;;;;;;;;;281.610;313.420;5.337;;;;;;;;;;5.300;;;;5.500;5.700
AM;Manaus;COLEGIO NOSSA SENHORA AUXILIADORA;Privada;91.800;84.600;87.500;100.000;;0.902;;;;;;;;;;;;;;;;;;;300.570;297.390;5.363;;;;;;;;;;4.800;;;;5.000;5.300
AM;Manaus;COLEGIO SANTA DOROTEIA;Privada;96.900;89.200;100.000;100.000;;0.961;;;;;;;;;;;;;;;;;;;311.380;327.950;5.972;;;;;;;;;;5.700;;;;5.900;6.100
AM;Manaus;COL DOM BOSCO;Privada;94.900;93.100;91.500;100.000;;0.947;;;;;;;;;;;;;;;;;;;313.650;313.090;5.782;;;;;;;;;;5.500;;;;5.700;5.900
AM;Manaus;COLEGIO PALAS ATENA;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;Privada;95.900;92.700;95.700;100.000;;0.960;;;;;;;;;;;;;;;;;;;322.280;320.610;6.015;;;;;;;;;;5.800;;;;6.000;6.100
AM;Manaus;ESCOLA VOCACIONAL MASROUR;Privada;98.800;97.400;100.000;100.000;;0.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;ESCOLAS NILTON LINS;Privada;88.600;77.300;87.500;100.000;;0.873;;;;;;;;;;;;;;;;;;;291.450;276.000;4.915;;;;;;;;;;4.300;;;;4.500;4.700
AM;Manaus;FUNDACAO MATIAS MACHLINE;Privada;87.100;80.800;;100.000;;0.894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;INSTITUTO ADVENTISTA DE MANAUS;Privada;96.800;94.000;96.900;99.000;;0.966;;;;;;;;;;;;;;;;;;;265.690;255.750;4.250;;;;;;;;;;4.100;;;;4.300;4.500
AM;Manaus;COLEGIO BATISTA BRASIL IDA NELSON;Privada;79.900;63.000;88.900;90.200;;0.785;;;;;;;;;;;;;;;;;;;290.060;298.910;5.238;;;;;;;;;;4.100;;;;4.300;4.500
AM;Manaus;INSTITUTO BATISTA DO AMAZONAS;Privada;94.800;85.200;95.100;100.000;;0.930;;;;;;;;;;;;;;;;;;;261.900;257.530;4.223;;;;;;;;;;3.900;;;;4.100;4.400
AM;Manaus;CENTRO DE EDUCACAO SESC JOSE ROBERTO TADROS;Privada;92.900;88.900;93.100;98.400;;0.933;;;;;;;;;;;;;;;;;;;334.070;317.550;6.135;;;;;;;;;;5.700;;;;5.900;6.100
AM;Manaus;INSTITUTO DE EDUCACAO PROF DENIZARD RIVAIL;Privada;95.000;94.900;95.600;94.700;;0.951;;;;;;;;;;;;;;;;;;;305.050;310.440;5.621;;;;;;;;;;5.300;;;;5.500;5.700
AM;Manaus;COLEGIO ADVENTISTA PAUL BERNARD;Privada;95.800;90.600;100.000;96.800;;0.956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;CENTRO METROPOLITANO DE ENSINO LTDA;Privada;88.000;78.700;90.300;93.500;;0.870;;;;;;;;;;;;;;;;;;;296.850;298.450;5.327;;;;;;;;;;4.600;;;;4.800;5.100
AM;Manaus;CENTRO EDUCACIONAL DRIHELLY BARBOSA;Privada;96.900;95.200;100.000;95.800;;0.970;;;;;;;;;;;;;;;;;;;268.620;279.840;4.651;;;;;;;;;;4.500;;;;4.700;4.900
AM;Manaus;ESCOLA CELUS LTDA;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;291.840;311.290;5.448;;;;;;;;;;5.400;;;;5.600;5.800
AM;Manaus;INSTITUTO DE EDUCACAO EL SHADAY;Privada;98.500;96.800;98.300;100.000;;0.983;;;;;;;;;;;;;;;;;;;278.340;295.350;5.020;;;;;;;;;;4.900;;;;5.100;5.400
AM;Manaus;COLEGIO DOM BOSCO LESTE;Privada;96.900;94.600;95.300;100.000;;0.966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;CENTRO POSITIVIANO DE ENSINO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;ESCOLA IDAAM UNIDADE ATLANTIC;Privada;100.000;;;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Manaus;CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I;Privada;96.300;95.000;98.400;95.200;;0.962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Rio Preto da Eva;INSTITUTO ADVENTISTA AGROINDUSTRIAL;Privada;91.800;87.200;95.600;93.300;;0.919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RR;Boa Vista;CENTRO EDUCACIONAL OBJETIVO MACUNAIMA;Privada;99.100;100.000;97.300;100.000;;0.991;;;;;;;;;;;;;;;;;;;318.670;298.660;5.636;;;;;;;;;;5.600;;;;5.800;6.000
RR;Boa Vista;CENTRO DE EDUCACAO INTEGRADA COLMEIA LTDA;Privada;95.100;89.400;100.000;100.000;;0.962;;;;;;;;;;;;;;;;;;;361.600;326.630;6.658;;;;;;;;;;6.400;;;;6.600;6.700
RR;Boa Vista;COLEGIO EDUCACIONAL E CURSOS - CUCA;Privada;99.400;100.000;100.000;98.700;;0.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RR;Boa Vista;INSTITUTO SION;Privada;92.900;89.800;95.800;92.500;;0.926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RR;Boa Vista;INSTITUTO MULTIEDUCACIONAL REI SALOMAO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RR;Boa Vista;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO BOA VISTA-RR;Privada;97.400;92.300;100.000;100.000;;0.973;;;;;;;;;;;;;;;;;;;312.010;298.240;5.536;;;;;;;;;;5.400;;;;5.600;5.800
RR;Boa Vista;CENTRO DE EDUCACAO SESC;Privada;90.800;82.400;91.500;100.000;;0.907;;;;;;;;;;;;;;;;;;;317.170;312.390;5.821;;;;;;;;;;5.300;;;;5.500;5.700
PA;Altamira;COLEGIO GILDETE DUTRA;Privada;99.200;96.800;100.000;100.000;;0.989;;;;;;;;;;;;;;;;;;;345.560;319.650;6.328;;;;;;;;;;6.300;;;;6.400;6.600
PA;Ananindeua;COLEGIO ADVENTISTA DA CIDADE NOVA;Privada;99.300;100.000;97.800;100.000;;0.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Ananindeua;SISTEMA DE ENSINO LOGOS LTDA;Privada;86.500;80.300;87.200;100.000;;0.884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Ananindeua;CENTRO DE ENSINO PLENO IDEAL;Privada;97.500;96.600;96.800;98.900;;0.974;;;;;;;;;;;;;;;;;;;325.990;299.950;5.758;;;;;;;;;;5.600;;;;5.800;6.000
PA;Barcarena;ESC DOM ANGELO FROZI SC LTDA;Privada;94.400;85.100;98.100;100.000;;0.939;;;;;;;;;;;;;;;;;;;289.960;283.410;5.005;;;;;;;;;;4.700;;;;4.900;5.100
PA;Belém;INSTITUTO ADVENTISTA GRAO PARA;Privada;97.000;97.100;97.500;96.500;;0.970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;SISTEMA TEOREMA DE ENSINO LTDA;Privada;92.100;90.400;98.700;87.800;;0.921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;COLEGIO IMPACTO DE ICOARACI;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI - EPP;Privada;100.000;;;100.000;;1.000;;;;;;;;;;;;;;;;;;;415.740;360.710;7.928;;;;;;;;;;7.900;;;;8.000;8.100
PA;Belém;UNIVERSO CRIANCA;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;COLEGIO IMPACTO- MANGUEIRAO;Privada;94.700;96.700;94.800;92.400;;0.946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;SISTEMA DE ENSINO EQUIPE;Privada;99.400;98.100;99.600;100.000;;0.992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;COLEGIO CEI;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;377.700;353.540;7.287;;;;;;;;;;7.300;;;;7.400;7.500
PA;Belém;CENTRO DE ESTUDOS JOHN KNOX;Privada;89.400;87.800;87.500;93.000;;0.894;;;;;;;;;;;;;;;;;;;369.140;338.240;6.938;;;;;;;;;;6.200;;;;6.400;6.500
PA;Belém;COLEGIO DE ENSINO ICOARACIENSE - CEI;Privada;99.800;100.000;99.400;100.000;;0.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;COLEGIO GENTIL BITTENCOURT;Privada;96.400;97.100;95.600;96.100;;0.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Belém;COLEGIO IMPACTO;Privada;93.600;93.000;96.800;91.300;;0.936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Cametá;COLEGIO ATITUDE;Privada;99.300;100.000;100.000;97.500;;0.992;;;;;;;;;;;;;;;;;;;305.800;297.760;5.442;;;;;;;;;;5.400;;;;5.600;5.800
PA;Canaã dos Carajás;SISTEMA DE ENSINO EQUIPE LTDA - EPP;Privada;99.600;100.000;100.000;98.500;;0.995;;;;;;;;;;;;;;;;;;;308.290;297.920;5.479;;;;;;;;;;5.500;;;;5.600;5.800
PA;Capanema;COLEGIO DE E I E F M DIMENSAO;Privada;96.200;90.400;98.600;100.000;;0.961;;;;;;;;;;;;;;;;;;;296.740;299.540;5.341;;;;;;;;;;5.100;;;;5.300;5.500
PA;Capanema;COLEGIO PROFESSORA MARIA GORETTI SS LTDA;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Castanhal;INSTITUTO DE ENSINO DARWIN;Privada;96.500;94.500;94.700;100.000;;0.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Conceição do Araguaia;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL MINISTRO JARBAS GONCALVES PASSARINHO;Privada;92.300;89.600;90.300;98.200;;0.925;;;;;;;;;;;;;;;;;;;308.060;288.500;5.335;;;;;;;;;;4.900;;;;5.100;5.400
PA;Conceição do Araguaia;ESCOLA DE EDUCACAO BASICA CRESCER LTDA - ME;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;283.330;289.460;5.002;;;;;;;;;;5.000;;;;5.200;5.400
PA;Itaituba;ESCOLA DE EDUCACAO BASICA CENTRO EDUCACIONAL ANCHIETA;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;339.160;327.230;6.352;;;;;;;;;;6.400;;;;6.500;6.700
PA;Itaituba;INSTITUTO DE EDUCACAO DE ITAITUBA;Privada;89.300;80.000;100.000;94.100;;0.906;;;;;;;;;;;;;;;;;;;279.440;279.860;4.804;;;;;;;;;;4.400;;;;4.600;4.800
PA;Juruti;COLEGIO PITAGORAS;Privada;84.600;78.300;80.000;100.000;;0.851;;;;;;;;;;;;;;;;;;;319.470;318.100;5.938;;;;;;;;;;5.100;;;;5.300;5.500
PA;Marabá;CENTRO EDUCACIONAL COLEGIO MONTE CASTELO;Privada;95.700;92.100;97.300;98.300;;0.958;;;;;;;;;;;;;;;;;;;339.450;316.940;6.202;;;;;;;;;;5.900;;;;6.100;6.300
PA;Marabá;E E F M ALVORADA;Privada;95.000;91.400;92.900;100.000;;0.946;;;;;;;;;;;;;;;;;;;343.090;341.460;6.620;;;;;;;;;;6.300;;;;6.400;6.600
PA;Oriximiná;ESCOLA PROFESSOR JONATHAS PONTES ATHIAS;Privada;86.300;73.800;100.000;93.900;;0.877;;;;;;;;;;;;;;;;;;;325.220;320.730;6.059;;;;;;;;;;5.300;;;;5.500;5.700
PA;Ourilândia do Norte;COLEGIO PITAGORAS DE OURILANDIA DO NORTE;Privada;95.800;90.500;95.800;100.000;;0.953;;;;;;;;;;;;;;;;;;;330.750;320.310;6.130;;;;;;;;;;5.800;;;;6.000;6.200
PA;Pacajá;CASA FAMILIAR RURAL FRANCISCO DE ASSIS DA SILVA GOMES;Privada;98.000;;95.800;100.000;;0.979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Paragominas;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;Privada;99.100;98.800;98.700;100.000;;0.992;;;;;;;;;;;;;;;;;;;307.800;305.360;5.584;;;;;;;;;;5.500;;;;5.700;5.900
PA;Parauapebas;COLEGIO PITAGORAS DE CARAJAS;Privada;96.400;95.300;97.500;96.600;;0.965;;;;;;;;;;;;;;;;;;;342.920;335.200;6.524;;;;;;;;;;6.300;;;;6.500;6.600
PA;Santa Izabel do Pará;CENTRO EDUC MONS GIOVANNI BROCCARDO;Privada;96.800;91.500;98.500;100.000;;0.965;;;;;;;;;;;;;;;;;;;295.370;296.870;5.282;;;;;;;;;;5.100;;;;5.300;5.500
PA;Santa Izabel do Pará;COLEGIO CONEXAO;Privada;94.400;98.700;90.500;94.700;;0.945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Santarém;COLEGIO SANTA CLARA;Privada;94.200;98.000;84.700;99.100;;0.935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;Santarém;COLEGIO BATISTA DE SANTAREM;Privada;96.700;91.500;100.000;100.000;;0.970;;;;;;;;;;;;;;;;;;;318.490;316.050;5.894;;;;;;;;;;5.700;;;;5.900;6.100
PA;Tailândia;ESCOLA DE EDUCACAO BASICA AGROPALMA;Privada;95.300;92.300;100.000;93.800;;0.953;;;;;;;;;;;;;;;;;;;301.820;320.230;5.722;;;;;;;;;;5.500;;;;5.600;5.800
PA;Uruará;INSTITUTO ADVENTISTA TRANSAMAZONICO AGROINDUSTRIAL-IATAI;Privada;94.000;85.400;97.000;100.000;;0.937;;;;;;;;;;;;;;;;;;;256.650;261.500;4.209;;;;;;;;;;3.900;;;;4.200;4.400
AP;Pedra Branca do Amapari;ESCOLA FAMILIA AGRICOLA DA PERIMETRAL NORTE;Privada;81.000;50.000;100.000;75.000;;0.692;;;;;;;;;;;;;;;;;;;232.860;227.300;3.363;;;;;;;;;;2.300;;;;2.500;2.700
AP;Macapá;COLEGIO SANTA BARTOLOMEA CAPITANIO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;309.120;303.580;5.576;;;;;;;;;;5.600;;;;5.800;6.000
AP;Macapá;MODERNO CENT DE ENSINO EDUC E CULTURA;Privada;99.500;100.000;98.500;100.000;;0.995;;;;;;;;;;;;;;;;;;;311.170;319.460;5.842;;;;;;;;;;5.800;;;;6.000;6.200
AP;Macapá;ESCOLA CONEXAO AQUARELA;Privada;96.600;91.900;100.000;100.000;;0.971;;;;;;;;;;;;;;;;;;;342.290;329.640;6.432;;;;;;;;;;6.200;;;;6.400;6.600
AP;Macapá;ESC ADVENTISTA DE MACAPA;Privada;97.100;92.300;100.000;100.000;;0.973;;;;;;;;;;;;;;;;;;;286.580;292.170;5.088;;;;;;;;;;5.000;;;;5.200;5.400
